# Server version 0.08 running on wpa076016.wireless.mcgill.ca:8123
# Game ID: 144
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Mon Mar 30 05:44:57 EDT 2015
# Player 1: Player-0, 'XXXXXXXXX', running on wpa076016.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on wpa076016.wireless.mcgill.ca
START Player-0 XXXXXXXXX
START Player-1 random
INIT 0 true 1,1,3,2,1,4,2,0,3,1,1,4,2,3,1,3
INIT 1 true 0,2,4,1,4,10,8,3,0,0,0,0,0,0,0,0
PIT 0 2
PIT 1 6
PIT 0 0
PIT 1 4
PIT 0 6
PIT 1 14
PIT 0 7
PIT 1 1
PIT 0 8
PIT 1 13
PIT 0 9
PIT 1 10
PIT 0 0
PIT 1 5
PIT 0 3
PIT 1 15
PIT 0 10
PIT 1 8
PIT 0 12
PIT 1 4
PIT 0 0
PIT 1 6
PIT 0 3
PIT 1 4
PIT 0 15
PIT 1 5
GAMEOVER WINNER 1
# Game ended: Mon Mar 30 05:44:57 EDT 2015
