# Server version 0.08 running on web112119.wireless.mcgill.ca:8123
# Game ID: 272
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Mon Mar 30 13:29:31 EDT 2015
# Player 1: Player-0, 'XXXXXXXXX', running on web112119.wireless.mcgill.ca
# Player 2: Player-1, 'random', running on web112119.wireless.mcgill.ca
START Player-0 XXXXXXXXX
START Player-1 random
INIT 0 true 0,1,3,3,2,2,2,2,2,2,4,2,2,2,2,1
INIT 1 true 2,3,4,6,1,7,4,5,0,0,0,0,0,0,0,0
PIT 0 3
PIT 1 7
PIT 0 4
PIT 1 2
PIT 0 2
PIT 1 0
PIT 0 4
PIT 1 1
PIT 0 7
PIT 1 4
PIT 0 2
PIT 1 3
PIT 0 3
PIT 1 2
PIT 0 1
GAMEOVER WINNER 0
# Game ended: Mon Mar 30 13:29:31 EDT 2015
